customer_id,age,country,currency,avg_transaction,home_city,home_lat,home_lon
C045,52,India,INR,3400,Hyderabad,17.385,78.4867
C046,28,Singapore,SGD,4650,Singapore,1.3521,103.8198
C047,21,India,INR,6800,Chennai,13.0827,80.2707
C048,68,India,INR,29550,Mumbai,19.076,72.8777
C049,68,United States,USD,1750,San Francisco,37.7749,-122.4194
C050,31,India,INR,14850,Kolkata,22.5726,88.3639
C051,50,France,EUR,7100,Paris,48.8566,2.3522
C052,72,Australia,AUD,300,Sydney,-33.8688,151.2093
C053,43,India,INR,2500,Hyderabad,17.385,78.4867
C054,57,India,INR,7750,Hyderabad,17.385,78.4867
C055,34,India,INR,17700,Kolkata,22.5726,88.3639
C056,26,India,INR,9750,Kolkata,22.5726,88.3639
C057,22,United Kingdom,GBP,1400,Manchester,53.4808,-2.2426
C058,22,India,INR,29950,Hyderabad,17.385,78.4867
C059,74,India,INR,8300,Hyderabad,17.385,78.4867
C060,71,India,INR,11400,Bangalore,12.9716,77.5946
C061,59,India,INR,18550,Delhi,28.6139,77.209
C062,60,India,INR,24600,Kolkata,22.5726,88.3639
C063,65,India,INR,8300,Bangalore,12.9716,77.5946
C064,39,India,INR,8800,Delhi,28.6139,77.209
C065,34,India,INR,25650,Kolkata,22.5726,88.3639
C066,35,United Arab Emirates,AED,700,Dubai,25.2048,55.2708
C067,34,India,INR,23250,Delhi,28.6139,77.209
C068,18,India,INR,16750,Chennai,13.0827,80.2707
C069,71,India,INR,27150,Kolkata,22.5726,88.3639
C070,37,India,INR,4850,Hyderabad,17.385,78.4867
C071,33,India,INR,27000,Mumbai,19.076,72.8777
C072,44,United Kingdom,GBP,2350,Manchester,53.4808,-2.2426
C073,28,France,EUR,2300,Paris,48.8566,2.3522
C074,39,France,EUR,9300,Paris,48.8566,2.3522
C075,69,United States,USD,3250,San Francisco,37.7749,-122.4194
C076,73,India,INR,23750,Bangalore,12.9716,77.5946
C077,47,India,INR,7050,Chennai,13.0827,80.2707
C078,43,India,INR,7100,Bangalore,12.9716,77.5946
C079,59,India,INR,29000,Mumbai,19.076,72.8777
C080,19,India,INR,29450,Kolkata,22.5726,88.3639
C081,34,India,INR,5750,Delhi,28.6139,77.209
C082,38,India,INR,13300,Hyderabad,17.385,78.4867
C083,30,India,INR,3900,Hyderabad,17.385,78.4867
C084,69,India,INR,13350,Kolkata,22.5726,88.3639
C085,30,India,INR,28250,Kolkata,22.5726,88.3639
C086,57,India,INR,28500,Mumbai,19.076,72.8777
C087,37,India,INR,21750,Mumbai,19.076,72.8777
C088,26,United Kingdom,GBP,1250,Manchester,53.4808,-2.2426
C089,75,India,INR,28250,Kolkata,22.5726,88.3639
C090,18,India,INR,9400,Hyderabad,17.385,78.4867
C091,59,India,INR,13200,Bangalore,12.9716,77.5946
C092,48,India,INR,13550,Chennai,13.0827,80.2707
C093,58,United States,USD,2700,Chicago,41.8781,-87.6298
C094,61,United Kingdom,GBP,2450,London,51.5072,-0.1276
C095,57,India,INR,24000,Bangalore,12.9716,77.5946
C096,54,Singapore,SGD,2350,Singapore,1.3521,103.8198
C097,27,India,INR,11850,Kolkata,22.5726,88.3639
C098,74,United Kingdom,GBP,2700,London,51.5072,-0.1276
C099,62,India,INR,6950,Chennai,13.0827,80.2707
C100,25,India,INR,16950,Mumbai,19.076,72.8777
C101,56,India,INR,20200,Chennai,13.0827,80.2707
C102,50,India,INR,18550,Chennai,13.0827,80.2707
C103,73,India,INR,13650,Hyderabad,17.385,78.4867
C104,35,India,INR,22700,Delhi,28.6139,77.209
C105,46,United States,USD,2000,Chicago,41.8781,-87.6298
C106,75,India,INR,7400,Delhi,28.6139,77.209
C107,27,India,INR,4950,Bangalore,12.9716,77.5946
C108,47,United States,USD,1700,New York,40.7128,-74.006
C109,67,India,INR,25050,Bangalore,12.9716,77.5946
C110,42,United Kingdom,GBP,2600,London,51.5072,-0.1276
C111,75,India,INR,9300,Delhi,28.6139,77.209
C112,69,France,EUR,1400,Paris,48.8566,2.3522
C113,49,United Kingdom,GBP,1500,London,51.5072,-0.1276
C114,64,India,INR,20250,Delhi,28.6139,77.209
C115,52,India,INR,27650,Chennai,13.0827,80.2707
C116,23,India,INR,17950,Chennai,13.0827,80.2707
C117,34,United Kingdom,GBP,2600,London,51.5072,-0.1276
C118,74,India,INR,13900,Bangalore,12.9716,77.5946
C119,52,India,INR,16350,Chennai,13.0827,80.2707
C120,20,India,INR,34650,Delhi,28.6139,77.209
C121,26,United States,USD,2150,New York,40.7128,-74.006
C122,62,India,INR,17150,Mumbai,19.076,72.8777
C123,65,India,INR,5450,Delhi,28.6139,77.209
C124,19,United States,USD,3850,New York,40.7128,-74.006
C125,22,Australia,AUD,1650,Sydney,-33.8688,151.2093
C126,72,United Kingdom,GBP,400,London,51.5072,-0.1276
C127,20,United Kingdom,GBP,2400,London,51.5072,-0.1276
C128,18,India,INR,78900,Chennai,13.0827,80.2707
C129,58,Singapore,SGD,600,Singapore,1.3521,103.8198
C130,64,United Arab Emirates,AED,4300,Dubai,25.2048,55.2708
C131,52,India,INR,8450,Kolkata,22.5726,88.3639
C132,35,United States,USD,1800,San Francisco,37.7749,-122.4194
C133,33,India,INR,116150,Bangalore,12.9716,77.5946
C134,19,United States,USD,2500,Chicago,41.8781,-87.6298
C135,69,India,INR,5850,Delhi,28.6139,77.209
C136,35,India,INR,26450,Delhi,28.6139,77.209
C137,49,India,INR,118450,Hyderabad,17.385,78.4867
C138,49,India,INR,20850,Bangalore,12.9716,77.5946
C139,62,India,INR,3250,Mumbai,19.076,72.8777
C140,51,India,INR,17650,Kolkata,22.5726,88.3639
C141,47,India,INR,16750,Kolkata,22.5726,88.3639
C142,38,India,INR,7300,Delhi,28.6139,77.209
C143,30,India,INR,28550,Hyderabad,17.385,78.4867
C144,66,India,INR,8650,Chennai,13.0827,80.2707
C145,36,India,INR,29450,Delhi,28.6139,77.209
C146,26,India,INR,9400,Bangalore,12.9716,77.5946
C147,26,India,INR,16800,Mumbai,19.076,72.8777
C148,48,United Kingdom,GBP,1100,Manchester,53.4808,-2.2426
C149,73,India,INR,29000,Bangalore,12.9716,77.5946
C150,21,India,INR,47900,Mumbai,19.076,72.8777
C151,53,India,INR,78200,Hyderabad,17.385,78.4867
C152,67,United States,USD,2400,Chicago,41.8781,-87.6298
C153,55,India,INR,27300,Chennai,13.0827,80.2707
C154,24,Germany,EUR,7100,Berlin,52.52,13.405
C155,23,Australia,AUD,2550,Sydney,-33.8688,151.2093
C156,44,India,INR,16800,Bangalore,12.9716,77.5946
C157,36,India,INR,41150,Hyderabad,17.385,78.4867
C158,34,United States,USD,400,San Francisco,37.7749,-122.4194
C159,30,United States,USD,2400,Chicago,41.8781,-87.6298
C160,35,India,INR,7150,Hyderabad,17.385,78.4867
C161,56,Singapore,SGD,400,Singapore,1.3521,103.8198
C162,47,United States,USD,3700,Chicago,41.8781,-87.6298
C163,49,United Kingdom,GBP,2850,Manchester,53.4808,-2.2426
C164,38,India,INR,1700,Hyderabad,17.385,78.4867
C165,71,United Kingdom,GBP,350,London,51.5072,-0.1276
C166,35,United Arab Emirates,AED,6000,Dubai,25.2048,55.2708
C167,35,India,INR,14400,Bangalore,12.9716,77.5946
C168,23,India,INR,13350,Hyderabad,17.385,78.4867
C169,72,India,INR,10350,Chennai,13.0827,80.2707
C170,43,India,INR,20950,Chennai,13.0827,80.2707
C171,38,Singapore,SGD,2350,Singapore,1.3521,103.8198
C172,18,India,INR,26000,Chennai,13.0827,80.2707
C173,41,United Kingdom,GBP,1300,Manchester,53.4808,-2.2426
C174,31,United Kingdom,GBP,1900,Manchester,53.4808,-2.2426
C175,62,India,INR,27850,Bangalore,12.9716,77.5946
C176,33,India,INR,29200,Mumbai,19.076,72.8777
C177,23,United States,USD,2250,San Francisco,37.7749,-122.4194
C178,71,India,INR,14100,Mumbai,19.076,72.8777
C179,44,India,INR,9100,Kolkata,22.5726,88.3639
C180,42,Singapore,SGD,1300,Singapore,1.3521,103.8198
C181,73,India,INR,15500,Hyderabad,17.385,78.4867
C182,35,India,INR,10550,Chennai,13.0827,80.2707
C183,55,Singapore,SGD,3650,Singapore,1.3521,103.8198
C184,48,Germany,EUR,2150,Berlin,52.52,13.405
C185,38,India,INR,23000,Hyderabad,17.385,78.4867
C186,67,United Arab Emirates,AED,3500,Dubai,25.2048,55.2708
C187,69,India,INR,22450,Delhi,28.6139,77.209
C188,27,India,INR,23900,Kolkata,22.5726,88.3639
C189,39,India,INR,4200,Mumbai,19.076,72.8777
C190,18,United Arab Emirates,AED,750,Dubai,25.2048,55.2708
C191,22,United States,USD,3500,San Francisco,37.7749,-122.4194
C192,59,India,INR,10500,Delhi,28.6139,77.209
C193,42,India,INR,25650,Delhi,28.6139,77.209
C194,58,France,EUR,4850,Paris,48.8566,2.3522
C195,45,United Kingdom,GBP,3000,Manchester,53.4808,-2.2426
C196,75,France,EUR,1150,Paris,48.8566,2.3522
C197,41,India,INR,24000,Delhi,28.6139,77.209
C198,68,India,INR,16150,Bangalore,12.9716,77.5946
C199,57,India,INR,2850,Bangalore,12.9716,77.5946
C200,47,United Kingdom,GBP,2750,Manchester,53.4808,-2.2426
